"fish_level","conv_type","conv_years","conv_period","yield_mean","yield_min","yield_max"
0,"not_converged",100,NA,0,0,0
5,"cycle",26.6,8.836,0.036803419864902,0.0129331691517334,0.284519301627026
10,"cycle",26,8.614,0.0461087056231695,0.0161778883427236,0.409233568458485
15,"cycle",24.4,8.069,0.0507177530228897,0.0175726100052268,0.472478718301856
20,"cycle",22.8,7.549,0.0539891195354811,0.0184253175488095,0.513980558093958
25,"cycle",21.4,7.115,0.0562269949344204,0.0172327644507121,0.549392251902465
30,"cycle",20.4,6.764,0.0587906880657673,0.0190909320116559,0.552797261177417
35,"cycle",19.6,6.48,0.0601236847761587,0.0148158207187161,0.574976337769214
40,"cycle",18.8,6.249,0.0618187933481836,0.0168429013493583,0.598853582033504
45,"cycle",18.2,6.057,0.0630841489299238,0.0139371092007898,0.601001789501216
50,"cycle",17.8,5.898,0.0642059972982094,0.0148391987379068,0.59274878863951
55,"cycle",17.4,5.762,0.0654859660229059,0.0133260590790511,0.552203297290825
60,"cycle",17,5.647,0.0660060935392606,0.0129467614041372,0.612826535773265
65,"cycle",16.8,5.547,0.0674389594945183,0.0128226036784316,0.618771452254817
70,"cycle",16.4,5.46,0.067873658312391,0.0126906463670337,0.625575672126659
75,"cycle",16.2,5.384,0.0686831964065104,0.0164871392072111,0.640195202887078
80,"cycle",16,5.317,0.0692754951961407,0.0125223502521231,0.641303088671223
85,"cycle",15.8,5.257,0.0698868458256624,0.0137569413326562,0.641245544709935
90,"cycle",15.8,5.203,0.0706568943851932,0.0129091441004311,0.487669244827092
95,"cycle",15.6,5.155,0.0706915275859557,0.0123328438915744,0.624539467615881
100,"cycle",15.4,5.111,0.0712217563244902,0.0128199905636526,0.649667493244664
