"fish_level","direction","mean_total","conv_type","conv_years","theta","interaction_resource","knife_edge_size","fraction_of_unfished"
10,"up",0.668914057715268,"steady",7.4,0,5,5,0.859430898233536
20,"up",0.686300229450375,"steady",8.8,0,5,5,0.881768914633105
30,"up",0.725839020692972,"steady",9.4,0,5,5,0.932568951619556
50,"up",0.124332234126955,"cycle",31.2,0,5,5,0.159743934848796
100,"up",0.114287815567651,"cycle",7.6,0,5,5,0.14683871396864
100,"down",0.126033586838256,"cycle",7.8,0,5,5,0.161929858544105
50,"down",0.132566557876422,"cycle",15.8,0,5,5,0.170323518540789
30,"down",0.106441580126609,"steady",24.2,0,5,5,0.136757752004889
20,"down",0.860284226525541,"steady",17.4,0,5,5,1.10530618546771
10,"down",0.987579957847164,"steady",5.6,0,5,5,1.26885766633314
10,"up",0.697016079721971,"steady",4.6,0,5,10,0.895536801132171
20,"up",0.681792571404429,"steady",4.6,0,5,10,0.875977407400338
30,"up",0.690730800479207,"steady",3.6,0,5,10,0.887461379300393
50,"up",0.713480698217785,"steady",5,0,5,10,0.916690791992015
100,"up",0.73502143392446,"steady",5.8,0,5,10,0.944366655017275
100,"down",0.744464530602829,"steady",0.2,0,5,10,0.956499288450211
50,"down",0.856447787795416,"steady",3,0,5,10,1.10037707096365
30,"down",0.932433239185554,"steady",3.4,0,5,10,1.1980043281392
20,"down",0.956847448439188,"steady",3,0,5,10,1.22937207343697
10,"down",0.970669911419207,"steady",3.4,0,5,10,1.24713138292928
10,"up",0.761962824120197,"steady",1.2,0,5,15,0.978981360611395
20,"up",0.751855938860847,"steady",2,0,5,15,0.965995881570254
30,"up",0.74925567274443,"steady",0.8,0,5,15,0.962655020336583
50,"up",0.746831022330637,"steady",0.6,0,5,15,0.959539792813714
100,"up",0.744317599150885,"steady",0.6,0,5,15,0.956310508698513
100,"down",0.743276239535505,"steady",1.4,0,5,15,0.954972554114799
50,"down",0.741260281378883,"steady",0.6,0,5,15,0.952382420585143
30,"down",0.742218654065583,"steady",0.8,0,5,15,0.953613752307766
20,"down",0.746015950232521,"steady",0.8,0,5,15,0.958492575854631
10,"down",0.755161288801575,"steady",1,0,5,15,0.970242645165324
10,"up",0.488576026311252,"cycle",21.8,0.3,1,5,1.13883995255629
20,"up",0.00854097233514434,"cycle",8.8,0.3,1,5,0.0199084687031775
30,"up",0.0218625094790064,"cycle",22.6,0.3,1,5,0.0509601329516969
50,"up",0.0373195577954311,"steady",8.6,0.3,1,5,0.0869895392740679
100,"up",NA,"extinction",9.6,0.3,1,5,NA
100,"down",NA,"extinction",10.6,0.3,1,5,NA
50,"down",0.0347538712742395,"steady",30.6,0.3,1,5,0.0810090855499493
30,"down",0.144095472391239,"cycle",8.4,0.3,1,5,0.335877472704879
20,"down",0.313980712375086,"cycle",9.2,0.3,1,5,0.731869269731704
10,"down",0.317312879220619,"cycle",21.8,0.3,1,5,0.739636340827943
10,"up",0.514675013137091,"cycle",20.6,0.3,1,10,1.19967504743991
20,"up",0.506233580533894,"cycle",20.4,0.3,1,10,1.17999859958406
30,"up",0.499953077076453,"cycle",19.2,0.3,1,10,1.16535914149705
50,"up",0.48752742262038,"cycle",17.8,0.3,1,10,1.13639572338161
100,"up",0.47147767393265,"cycle",16.2,0.3,1,10,1.09898476981503
100,"down",0.471311016280002,"cycle",16.2,0.3,1,10,1.09859630132084
50,"down",0.483152897819557,"cycle",17.8,0.3,1,10,1.12619898152704
30,"down",0.489055680875554,"cycle",19.2,0.3,1,10,1.13995799714268
20,"down",0.487820718483866,"cycle",20.4,0.3,1,10,1.13707937757106
10,"down",0.487404341751281,"cycle",21.4,0.3,1,10,1.13610882962592
10,"up",0.440902160936986,"cycle",16.4,0.3,1,15,1.02771517430854
20,"up",0.442420077532989,"cycle",16.6,0.3,1,15,1.03125334231328
30,"up",0.437026281859218,"cycle",16.6,0.3,1,15,1.01868074423557
50,"up",0.441170290397761,"cycle",16.8,0.3,1,15,1.02834016719797
100,"up",0.443493722179674,"cycle",16.8,0.3,1,15,1.03375594037919
100,"down",0.447499718832098,"cycle",16.8,0.3,1,15,1.0430936663254
50,"down",0.447889710959748,"cycle",16.8,0.3,1,15,1.04400271341784
30,"down",0.438895833163253,"cycle",16.6,0.3,1,15,1.02303855060291
20,"down",0.428446452492772,"cycle",16.6,0.3,1,15,0.99868170223919
10,"down",0.417709336967968,"cycle",16.6,0.3,1,15,0.9736541620482
10,"up",0.162016707215767,"cycle",43.4,0.3,2,5,0.229347400801733
20,"up",0.384102776647425,"cycle",21,0.3,2,5,0.543727711658135
30,"up",0.0643261296740542,"cycle",12,0.3,2,5,0.0910586994261774
