"fish_level","direction","mean_total","conv_type","conv_years","theta","interaction_resource","knife_edge_size","fraction_of_unfished"
50,"up",0.357085641827705,"cycle",17,1,1,10,0.679362728663008
100,"up",0.0149837100946612,"cycle",14.6,1,1,10,0.0285068145649947
100,"down",0.0883018912822628,"cycle",14.2,1,1,10,0.16799615212915
50,"down",0.108871144985159,"cycle",16.8,1,1,10,0.207129577518748
30,"down",0.0802767850641321,"cycle",19.8,1,1,10,0.152728223600144
20,"down",0.135561940205369,"cycle",22.2,1,1,10,0.257909360705148
10,"down",0.144579323418363,"cycle",26.4,1,1,10,0.275065116488617
10,"up",0.211398039496793,"cycle",8.8,1,2,10,0.931862093476783
20,"up",0.232029822442384,"cycle",13.8,1,2,10,1.02280889929202
30,"up",0.252265366547852,"cycle",9.6,1,2,10,1.11200904768341
50,"up",0.258994081869405,"cycle",10,1,2,10,1.14166984662401
100,"up",0.259250205693836,"cycle",9.8,1,2,10,1.1427988641106
100,"down",0.164324923061098,"cycle",9.8,1,2,10,0.724359446183267
50,"down",0.143709398557293,"cycle",10.4,1,2,10,0.633484309081871
30,"down",0.129376357378001,"cycle",10.4,1,2,10,0.570302939041651
20,"down",0.14577548554508,"cycle",10,1,2,10,0.642591811451936
10,"down",0.201963923114315,"cycle",20.2,1,2,10,0.890275636652461
10,"up",0.242208888245038,"steady",5.6,1,3,10,0.706285515238652
20,"up",0.215968066966043,"steady",3.4,1,3,10,0.629766804007173
30,"up",0.204974685741872,"steady",2.6,1,3,10,0.597709904781106
50,"up",0.193645150988538,"steady",2.4,1,3,10,0.564672775761393
100,"up",0.185143544342637,"steady",2.2,1,3,10,0.539881936441812
100,"down",0.184824393179057,"steady",0.2,1,3,10,0.538951285854869
50,"down",0.198448735306082,"steady",2.2,1,3,10,0.57868011483673
30,"down",0.204743467171634,"steady",1.2,1,3,10,0.597035667232697
20,"down",0.222013450491577,"steady",2.6,1,3,10,0.647395252116917
10,"down",0.251854945696228,"steady",3.4,1,3,10,0.734413593883079
10,"up",0.601852557487484,"steady",3.2,1,5,10,0.875933406986209
20,"up",0.449304899662818,"steady",8.6,1,5,10,0.653916256799214
30,"up",0.404338430496513,"steady",2.8,1,5,10,0.588472267159274
50,"up",0.320317700852974,"steady",6.4,1,5,10,0.466188888849192
100,"up",0.269268023220344,"steady",5.2,1,5,10,0.391891425960656
100,"down",0.265047893857053,"steady",0.2,1,5,10,0.385749469354969
50,"down",0.312106784362006,"steady",4.8,1,5,10,0.454238759258587
30,"down",0.367205478527293,"steady",5,1,5,10,0.534429141936648
20,"down",0.392723704699063,"steady",1.6,1,5,10,0.571568249368866
10,"down",0.504893964737047,"steady",6.2,1,5,10,0.734820323012574
