"theta","mean_total","min_total","max_total","mean_yield","min_yield","max_yield","conv_type","conv_years","conv_period","residual","direction","interaction_resource","knife_edge_size","fish_level","tol","t_max"
0,0.669604396647946,0.607671912752584,0.809925837381554,0.0229317905839747,0.0224497329490815,0.024771569145179,"steady",55.2,NA,0.000520464064908916,"up",1,10,25,1e-05,300
0.1,0.365649803072338,0.362531037818938,0.369143247305246,0.0410265017740006,0.0397607469032467,0.0422025103549453,"steady",134.4,NA,0.000247321307237468,"up",1,10,25,1e-05,300
0.2,0.37235522771222,0.194929922251023,0.483493306238506,0.0648326617553772,0.021252470346633,0.276568684342403,"cycle",23.2,5.38,0.310198888320789,"up",1,10,25,1e-05,300
0.3,0.389246775889283,0.107393872385604,0.521159953759931,0.0658108296521036,0.0197511074827332,0.44223649486768,"cycle",19.4,6.12,1.2624400619501,"up",1,10,25,1e-05,300
0.4,0.386954819602829,0.0709782927272935,0.533557146915794,0.0680709984894586,0.0194590283435935,0.507304091134739,"cycle",20.4,6.76,0.265361104527537,"up",1,10,25,1e-05,300
0.5,0.407461995867869,0.0501825736713382,0.540545828504929,0.0598028070145268,0.0193090171511999,0.536069046728408,"cycle",21,6.96,0.134475929953595,"up",1,10,25,1e-05,300
0.6,0.409963658789439,0.0389170803897312,0.544254864088953,0.0575768309253561,0.0192511967213677,0.541942648995748,"cycle",21.2,7.04,0.0981282944660855,"up",1,10,25,1e-05,300
0.7,0.409369902336182,0.0307594146734543,0.545478164335734,0.0565610909606249,0.0164045318689609,0.537648859204995,"cycle",21.4,7.08,0.0628202776976522,"up",1,10,25,1e-05,300
0.8,0.408193715501223,0.0284960334442673,0.545263255048549,0.0556796261952591,0.0107825896891176,0.5585191692577,"cycle",21.2,7.06,0.0643128715212077,"up",1,10,25,1e-05,300
0.9,0.405438376552548,0.0229893317676251,0.544679759820368,0.0551280901019638,0.00620782608155455,0.559384912084462,"cycle",21.2,7.02,0.0466616019629751,"up",1,10,25,1e-05,300
1,0.402511542270292,0.0209671098179268,0.543080471877206,0.0550450972355532,0.00442476221211165,0.556091251951806,"cycle",20.8,6.94,0.0629670736813979,"up",1,10,25,1e-05,300
1,0.405069485469436,0.0205267354743662,0.540495951740485,0.0543570681987185,0.00402948099643788,0.559829350481764,"not_converged",300,NA,0.237548130342707,"down",1,10,25,1e-05,300
0.9,0.405708197030736,0.0254573247404998,0.543107777029455,0.0551650605053002,0.0074794118000998,0.502249174268722,"cycle",21.2,7.02,0.259854124728198,"down",1,10,25,1e-05,300
0.8,0.408086280424978,0.0261682251034848,0.544906888021194,0.0557009896505421,0.00990803667175476,0.546175856168372,"cycle",21.2,7.06,0.2613098228662,"down",1,10,25,1e-05,300
0.7,0.409835829589619,0.0315891285095667,0.54546524033064,0.0564771845642044,0.0165320255064044,0.552004147783826,"cycle",21.4,7.08,0.288010524160683,"down",1,10,25,1e-05,300
0.6,0.409917716753524,0.0376764645531028,0.544310373498657,0.0575321834982286,0.0192438336697057,0.553275507245003,"cycle",21.2,7.06,0.29671432092797,"down",1,10,25,1e-05,300
0.5,0.409153613639201,0.0492774328167399,0.541558081928609,0.0594677428654009,0.0193041037690806,0.529977735800115,"cycle",21,6.96,0.319372975493584,"down",1,10,25,1e-05,300
0.4,0.405369884246381,0.0687210886836494,0.537030984682411,0.0616872214092816,0.0194186338182962,0.527541103961483,"cycle",20.6,6.84,0.350809612975542,"down",1,10,25,1e-05,300
0.3,0.401229435234729,0.0999390755398833,0.534576373825158,0.0642375147279192,0.0194880195717328,0.463882640935611,"cycle",20.2,6.74,0.404387107433244,"down",1,10,25,1e-05,300
0.2,0.380963598993081,0.187585235646631,0.495605543236841,0.0669800185495615,0.0206897620181137,0.304799305573871,"cycle",26.6,6.3,0.632475281461948,"down",1,10,25,1e-05,300
0.1,0.365627800214981,0.362397417815141,0.369300733713044,0.0410426605724719,0.0397052464689276,0.0426455431909473,"steady",141.2,NA,4.60084759789423e-05,"down",1,10,25,1e-05,300
0,0.620878899399991,0.607886735097881,0.64861801714078,0.0226351350193323,0.0225355879128982,0.0227817080232824,"steady",30.2,NA,0.000520881975104891,"down",1,10,25,1e-05,300
