"theta","mean_total","min_total","max_total","mean_yield","min_yield","max_yield","conv_type","conv_years","conv_period","residual","direction","interaction_resource","knife_edge_size","fish_level","tol","t_max"
0,0.829312472547966,0.824562065747669,0.83301190294611,0.0617463980167974,0.0605734269033745,0.0622190670387335,"steady",40.2,NA,0.000325013451679644,"up",5,10,10,1e-05,300
0.1,0.695490280871781,0.68819389478147,0.698220557826795,0.0620390062585316,0.0616908636972111,0.0622388878919511,"steady",33.6,NA,0.000258899867410935,"up",5,10,10,1e-05,300
0.2,0.679093455646909,0.662515680023551,0.690557386492039,0.0604443439316241,0.0602117687461484,0.06074443201615,"steady",45.4,NA,0.000159050973636517,"up",5,10,10,1e-05,300
0.3,0.699001265432644,0.692513038282623,0.703209944000556,0.0590417051912322,0.058700451543613,0.0596856037095929,"steady",34.6,NA,0.000776999303954379,"up",5,10,10,1e-05,300
0.4,0.804528496404989,0.781249916621658,0.810542336415525,0.0576807256387546,0.0573916713355365,0.0579085269469062,"steady",48.4,NA,0.000130067145289221,"up",5,10,10,1e-05,300
0.5,0.871758358613126,0.858592556784342,0.88209055396829,0.0551516828281805,0.0547552939897245,0.0557241578497619,"steady",69.6,NA,0.000546850968197713,"up",5,10,10,1e-05,300
0.6,0.828781882663412,0.821307169858416,0.83499324337857,0.0515053972099469,0.0510726232752018,0.0519508081685901,"steady",55.8,NA,0.00067290518733933,"up",5,10,10,1e-05,300
0.7,0.74857461321732,0.738394543271277,0.765585444661982,0.0486733246573553,0.0482591673977152,0.0495764019366804,"steady",25.2,NA,0.000719482014089607,"up",5,10,10,1e-05,300
0.8,0.656243625360985,0.653142394739069,0.666947197386595,0.0457571660455093,0.0456962882102646,0.0461136187541785,"steady",26.6,NA,0.000165674334711066,"up",5,10,10,1e-05,300
0.9,0.579927430747364,0.577740039982722,0.588451635184531,0.0435022527124578,0.0434143733519215,0.0437610868345442,"steady",23.4,NA,0.000568628199840269,"up",5,10,10,1e-05,300
1,0.517899888948871,0.517109142464059,0.519558075427584,0.0418879918413988,0.0418080578896483,0.0420006367114545,"steady",22.4,NA,0.000548070108967096,"up",5,10,10,1e-05,300
1,0.521809555458479,0.513885201912028,0.565112152333438,0.0419098798409539,0.0415444108131683,0.04373564769343,"steady",49.2,NA,0.000540748912951555,"down",5,10,10,1e-05,300
0.9,0.582005393147501,0.58003990434729,0.583100266795384,0.0437216494306653,0.0435917661537144,0.0438352249603734,"steady",20.6,NA,0.000574625901069014,"down",5,10,10,1e-05,300
0.8,0.646509766995959,0.634603631856225,0.652647367363403,0.0454599482274763,0.0448688503224725,0.0456167926250956,"steady",14.4,NA,0.000696169841429098,"down",5,10,10,1e-05,300
0.7,0.740300386336816,0.730024674004274,0.74302057671532,0.0479882260798812,0.0478053565925387,0.0480529824393388,"steady",22.8,NA,0.000500760660052028,"down",5,10,10,1e-05,300
0.6,0.819777652703682,0.815868770434668,0.82636285837526,0.0506943727270487,0.0504949563679764,0.051055161005116,"steady",41.4,NA,0.000658708598968924,"down",5,10,10,1e-05,300
0.5,0.887875233978256,0.885450525969843,0.893919268564262,0.0538473174902727,0.05359342806357,0.0542956991691075,"steady",38.8,NA,0.000660871246216594,"down",5,10,10,1e-05,300
0.4,0.86393030568779,0.849029803427152,0.886295323101732,0.057084983380393,0.0566845932666876,0.05733527522775,"steady",68,NA,0.000311818105822662,"down",5,10,10,1e-05,300
0.3,0.745488552479065,0.739215403032514,0.764000065827447,0.0584699521104524,0.0582018507081709,0.0588029422784347,"steady",46.6,NA,0.000170649548011913,"down",5,10,10,1e-05,300
0.2,0.697400325246082,0.694895242015427,0.707170174893595,0.0597244645332079,0.0588331167181054,0.0604107682409616,"steady",30.6,NA,0.000392578071708079,"down",5,10,10,1e-05,300
0.1,0.700490160820873,0.698019360493022,0.709764853760438,0.0611128612171878,0.0605574554385295,0.0615376490561076,"steady",31.6,NA,6.7283429145331e-05,"down",5,10,10,1e-05,300
0,0.830402268832251,0.82876508733503,0.833802285754405,0.0615411317853513,0.0612647734276536,0.061994012521937,"steady",32.4,NA,0.000499384060430482,"down",5,10,10,1e-05,300
