"theta","mean_total","min_total","max_total","mean_yield","min_yield","max_yield","conv_type","conv_years","conv_period","residual","direction","interaction_resource","knife_edge_size","fish_level","tol","t_max"
0,1.24202383878392,1.23727349804352,1.2461964270237,0,0,0,"steady",51.2,NA,4.80868373790026e-05,"up",1,10,0,1e-05,300
0.1,0.587929434250462,0.561168628505997,0.709040238032332,0,0,0,"steady",52.8,NA,0.000438834882353799,"up",1,10,0,1e-05,300
0.2,0.387291985599664,0.384341979286169,0.391032000697683,0,0,0,"steady",69.4,NA,4.86332603687972e-05,"up",1,10,0,1e-05,300
0.3,0.354361387507328,0.264545216639286,0.427430749874452,0,0,0,"cycle",22.6,4.96,0.237232426347943,"up",1,10,0,1e-05,300
0.4,0.374749927661806,0.197164769332583,0.500403503507821,0,0,0,"cycle",23.4,5.6,0.0281581128067057,"up",1,10,0,1e-05,300
0.5,0.398505265121675,0.158740450489514,0.524415473588219,0,0,0,"cycle",19.6,6.5,0.0724277798864207,"up",1,10,0,1e-05,300
0.6,0.40423394480599,0.136475316110089,0.53557327578189,0,0,0,"cycle",20.4,6.8,0.0792525671178991,"up",1,10,0,1e-05,300
0.7,0.406865116947726,0.120034699873352,0.541223990468817,0,0,0,"cycle",21,6.98,0.0858433666912756,"up",1,10,0,1e-05,300
0.8,0.406544714556236,0.108469704430805,0.543670769642436,0,0,0,"cycle",21.4,7.08,0.0975619294765945,"up",1,10,0,1e-05,300
0.9,0.405649654523195,0.099374767816434,0.544243377298788,0,0,0,"cycle",21.4,7.12,0.0994049905490699,"up",1,10,0,1e-05,300
1,0.403516233511744,0.0921566308492002,0.543624295037236,0,0,0,"cycle",21.4,7.12,0.0991946263594327,"up",1,10,0,1e-05,300
1,0.403673695406895,0.0923400532828741,0.543618700221967,0,0,0,"not_converged",300,NA,0.110361928547231,"down",1,10,0,1e-05,300
0.9,0.405630567506197,0.0993142179770001,0.544250756554652,0,0,0,"cycle",21.4,7.12,0.102142199439499,"down",1,10,0,1e-05,300
0.8,0.40650754729962,0.109238336996995,0.544173098350371,0,0,0,"cycle",21.4,7.08,0.075251475326916,"down",1,10,0,1e-05,300
0.7,0.407114606745283,0.120852763756571,0.543515499441164,0,0,0,"cycle",21,6.98,0.0833406001942525,"down",1,10,0,1e-05,300
0.6,0.404754974472785,0.136943465008558,0.541184329669637,0,0,0,"cycle",20.4,6.8,0.137516354599515,"down",1,10,0,1e-05,300
0.5,0.400329544704918,0.158575375711455,0.535749791089811,0,0,0,"cycle",19.6,6.54,0.276819989444909,"down",1,10,0,1e-05,300
0.4,0.391789002375844,0.194604289954144,0.525835676436944,0,0,0,"cycle",18.6,6.16,0.527040291512515,"down",1,10,0,1e-05,300
0.3,0.370273343787676,0.247847843303549,0.465392881750145,0,0,0,"cycle",21.2,5.86,0.210504710740046,"down",1,10,0,1e-05,300
0.2,0.387064024631548,0.382810716903356,0.390482274430442,0,0,0,"steady",69.4,NA,0.000209116692239013,"down",1,10,0,1e-05,300
0.1,0.57455577901824,0.569361244119361,0.585091818533133,0,0,0,"steady",28.4,NA,0.000168761742692373,"down",1,10,0,1e-05,300
0,1.24898265815305,1.23830761759282,1.27021485591903,0,0,0,"steady",66,NA,0.000184321744889916,"down",1,10,0,1e-05,300
