"theta","mean_total","mean_yield","conv_type","conv_years","direction","interaction_resource","knife_edge_size","fish_level"
0,1.12972911979812,0.0284062139279284,"steady",20.8,"up",1,10,10
0.1,0.407221852299553,0.0278812229917534,"steady",32.6,"up",1,10,10
0.2,0.280834017768472,0.0483499765097047,"cycle",19,"up",1,10,10
0.3,0.520559129993149,0.0380110317009614,"cycle",27,"up",1,10,10
0.4,0.56742305930358,0.0346750205547334,"cycle",23.2,"up",1,10,10
0.5,0.579345789786751,0.0331263700949056,"cycle",24.6,"up",1,10,10
0.6,0.583071622820161,0.0321395881879119,"cycle",25.4,"up",1,10,10
0.7,0.582093152286602,0.0309991353735036,"cycle",26,"up",1,10,10
0.8,0.582509827390206,0.0306428313241435,"cycle",26.2,"up",1,10,10
0.9,0.580058518434225,0.0300098621996368,"cycle",26.4,"up",1,10,10
1,0.577328493860341,0.029523715224133,"cycle",26.4,"up",1,10,10
1,0.53152450312525,0.0234019206451403,"not_converged",80,"down",1,10,10
0.9,0.526179899977072,0.0228677715036734,"cycle",26.4,"down",1,10,10
0.8,0.524061711482193,0.0227372531903856,"cycle",26.2,"down",1,10,10
0.7,0.514751877527749,0.022047470222068,"cycle",26,"down",1,10,10
0.6,0.507572148856948,0.0217101217470864,"cycle",25.4,"down",1,10,10
0.5,0.495548754429423,0.0211477993791917,"cycle",24.6,"down",1,10,10
0.4,0.492516067988567,0.0216222356971057,"cycle",23.2,"down",1,10,10
0.3,0.488336831320246,0.0225487715631348,"cycle",21.4,"down",1,10,10
0.2,0.46467627688706,0.0249653639389517,"cycle",18.6,"down",1,10,10
0.1,0.385885713068986,0.0305514413580361,"steady",18.6,"down",1,10,10
0,0.897694515394289,0.0254054372854585,"steady",8.8,"down",1,10,10
